D16S539 Vietnamese AfricanAmerican Caucasian Hispanic Navajo
5 0.000 0.250 0.000 0.000 0.000
8 0.714 4.000 0.667 2.292 0.000
9 22.143 18.250 11.333 14.583 16.757
10 16.429 10.500 5.000 9.583 16.486
11 26.190 31.000 31.333 28.125 14.595
12 23.571 20.750 31.000 25.417 35.946
13 9.524 13.000 19.000 16.250 14.324
14 1.429 2.250 1.667 3.542 1.892
15 0.000 0.000 0.000 0.208 0.000
