D8S1179 Vietnamese AfricanAmerican Caucasian Hispanic Navajo
8 0.000 0.250 1.667 1.429 0.000
9 0.000 0.250 0.333 0.952 0.000
10 14.953 0.750 12.333 9.286 14.865
11 13.318 6.250 9.667 5.000 5.135
12 10.981 10.750 8.667 10.476 10.811
13 16.822 22.500 31.333 36.429 37.027
14 13.318 31.000 22.000 21.667 22.162
15 16.822 19.750 10.333 11.905 8.378
16 11.449 6.000 3.000 2.619 1.622
17 1.636 2.500 0.667 0.238 0.000
18 0.701 0.000 0.000 0.000 0.000
