5 4 7 6 10 9 105 4 1 6 4 8 2 3 1 5 
3 4 7 9 6 13 23 4 1 12 10 4 7 3 2 16 
6 3 3 4 3 5 59 1 0 8 12 10 3 5 1 5 
3 3 2 4 3 12 35 4 8 6 8 7 3 3 1 3 
5 4 7 6 12 9 105 5 1 6 8 8 2 3 1 11 
6 3 4 4 12 9 54 4 0 3 10 10 3 3 1 1 
3 6 4 9 12 9 41 5 0 13 12 1 3 9 1 11 
5 6 3 9 6 9 87 2 0 8 2 18 1 3 7 5 
3 6 6 11 12 12 61 5 0 3 8 10 1 3 1 11 
7 4 6 11 12 12 38 4 0 8 8 8 3 3 1 11 
3 3 6 4 10 9 38 4 0 8 4 8 2 5 1 11 
3 3 4 6 12 13 91 2 8 6 2 8 1 5 2 16 
6 4 7 6 10 9 104 5 0 3 8 8 2 3 1 5 
3 4 3 6 3 9 28 5 0 3 2 4 2 3 1 22 
3 4 6 9 3 12 23 4 0 1 10 4 4 3 2 16 
6 3 6 6 6 9 106 5 0 6 4 8 3 3 1 5 
3 3 6 6 6 12 23 4 1 1 10 4 3 3 2 16 
3 4 4 9 1 5 61 2 0 3 4 4 2 5 7 21 
6 3 4 3 3 9 54 4 0 3 1 10 3 3 1 5 
5 6 4 9 12 5 41 4 0 1 12 1 3 9 2 16 
3 4 7 6 6 9 102 4 1 6 8 8 2 3 1 5 
6 4 2 6 12 5 57 7 0 3 8 4 1 9 1 22 
6 3 4 4 6 12 52 4 0 6 2 10 3 3 1 5 
3 4 7 9 6 12 20 4 1 1 10 4 4 3 2 11 
5 4 6 11 3 9 23 4 0 3 10 4 4 3 2 16 
5 4 7 9 6 9 105 4 1 8 4 8 2 3 1 5 
5 6 6 11 12 9 114 5 1 8 8 8 2 3 1 3 
3 4 4 4 10 9 81 4 0 8 4 4 2 9 2 21 
3 3 2 6 1 5 32 4 8 3 8 7 4 3 1 3 
3 4 4 6 6 9 81 5 1 6 4 10 2 3 1 5 
2 4 6 6 10 12 38 2 0 6 4 4 3 3 1 11 
6 6 4 11 12 9 104 5 0 3 1 4 4 3 1 11 
3 6 3 9 10 5 69 4 0 6 2 8 2 5 7 1 
3 3 7 4 10 12 39 2 0 6 10 8 3 3 1 16 
5 4 7 6 12 9 88 5 1 3 4 8 2 3 1 5 
5 4 6 6 10 9 104 5 1 8 4 8 2 3 1 5 
3 3 6 6 10 9 35 5 0 6 12 8 3 5 1 5 
5 6 7 9 6 12 23 4 0 3 10 4 4 3 2 16 
3 3 2 9 1 9 97 4 8 3 10 7 4 3 1 3 
3 3 3 4 3 5 87 1 0 3 12 10 3 5 1 11 
3 4 7 4 10 9 107 5 0 8 8 10 2 3 1 5 
3 3 3 4 15 3 38 4 0 6 10 12 1 5 2 11 
5 4 2 9 10 12 122 5 1 6 8 4 2 3 2 21 
6 4 2 9 3 12 41 4 1 6 4 4 3 5 1 11 
3 6 4 9 10 9 68 4 0 3 12 1 2 9 2 16 
3 3 4 4 3 9 25 4 0 8 4 8 3 5 1 11 
3 4 2 11 15 5 54 5 0 6 2 4 3 3 1 11 
3 4 7 9 6 5 125 7 0 6 4 8 2 3 1 5 
5 3 4 6 10 13 54 4 0 6 8 10 3 3 1 1 
3 6 2 12 6 9 39 4 1 6 4 4 2 5 1 16 
5 4 3 6 10 5 41 4 0 6 12 1 3 9 2 11 
5 3 4 4 15 12 54 4 0 3 8 10 3 3 1 1 
