3 3 4 4 12 5 115 2 0 6 2 10 3 5 2 16 
5 3 4 4 18 9 32 2 0 8 2 7 3 5 1 11 
3 6 6 9 18 5 65 2 8 3 4 8 3 5 1 22 
3 3 6 4 12 9 67 2 0 6 2 10 3 5 2 11 
5 4 4 9 6 9 27 7 0 3 4 4 2 3 1 22 
5 4 6 9 10 9 67 5 0 6 2 8 1 3 2 5 
3 3 4 4 3 12 54 4 0 6 4 10 3 3 1 11 
3 3 4 6 18 9 38 2 0 6 4 7 3 5 1 11 
5 3 4 6 12 5 104 2 0 6 2 8 4 5 2 16 
3 3 2 4 12 9 27 2 0 8 12 4 2 3 1 16 
5 4 4 4 12 9 61 4 0 1 4 7 3 3 1 11 
6 3 6 4 18 5 24 2 0 6 2 7 4 5 1 11 
3 4 6 4 12 12 70 2 1 6 4 8 2 3 1 11 
3 8 6 9 12 9 28 5 0 6 4 4 2 3 1 21 
2 4 4 11 10 9 43 2 0 3 8 8 2 3 1 16 
2 3 6 9 18 12 52 2 8 6 4 8 4 3 1 11 
2 3 7 4 10 13 44 2 8 3 8 8 3 3 1 11 
3 3 4 6 6 5 52 4 0 6 4 10 3 3 1 5 
3 4 4 6 3 5 52 4 0 1 2 10 4 5 1 5 
6 3 4 6 3 9 52 4 0 3 1 10 3 3 1 5 
2 3 6 9 6 5 111 4 0 3 1 4 3 5 2 11 
3 3 7 6 15 5 65 2 0 8 2 10 3 5 2 16 
5 3 4 9 3 9 33 4 0 8 8 10 3 3 1 5 
5 4 4 6 3 5 15 4 0 3 8 10 3 3 2 11 
3 4 4 9 10 5 65 2 0 6 2 10 3 5 2 16 
3 3 7 4 12 13 69 2 1 8 12 8 2 3 2 5 
2 3 6 6 10 13 91 2 8 3 2 8 1 5 2 16 
6 3 4 4 3 9 52 4 1 3 2 10 3 3 1 5 
3 3 6 4 18 9 65 2 0 6 2 10 3 5 2 16 
3 3 6 4 15 9 88 2 0 6 2 10 3 5 2 16 
3 4 6 9 12 12 46 5 1 6 10 7 2 3 1 5 
2 3 7 4 10 12 95 2 0 3 12 8 3 3 2 21 
2 3 6 9 6 5 98 4 0 3 1 4 3 5 2 11 
3 4 4 6 6 5 52 4 0 8 2 10 3 5 1 5 
3 4 6 11 15 13 68 2 0 8 12 8 4 9 1 16 
1 3 4 4 12 9 88 2 0 6 2 10 2 5 2 21 
6 3 4 3 3 12 52 4 0 9 2 10 3 3 1 5 
3 4 6 6 12 9 69 2 0 9 4 8 2 5 1 11 
3 3 4 4 12 5 105 2 0 3 2 10 3 5 2 16 
5 3 4 6 3 9 54 4 0 3 1 10 3 3 1 5 
3 4 6 11 6 9 65 5 0 3 4 8 1 3 2 5 
3 4 6 4 10 5 91 2 0 1 8 4 2 3 1 3 
6 3 4 4 6 9 52 4 1 3 1 10 2 3 1 5 
3 3 4 9 3 9 54 4 0 8 4 10 3 3 1 11 
6 3 4 4 6 9 52 4 0 6 1 10 3 3 1 11 
7 3 4 6 3 9 52 4 0 3 1 10 3 3 1 5 
3 3 4 4 10 5 102 2 0 6 2 10 3 5 2 16 
2 4 4 11 12 9 41 2 0 3 4 10 2 3 1 11 
3 3 4 4 12 5 102 2 0 8 2 10 3 5 2 16 
3 3 7 4 15 5 61 2 0 8 2 10 3 5 2 16 
6 6 7 9 6 9 69 5 0 6 12 8 2 3 1 5 
2 4 4 11 10 9 43 2 8 3 8 8 2 3 1 11 
3 3 6 4 12 9 88 2 0 6 4 10 3 5 2 16 
3 4 6 11 15 13 129 4 0 3 8 10 1 3 1 5 
3 3 6 9 6 5 98 4 1 6 1 4 3 5 2 11 
5 3 6 2 12 12 65 4 0 6 4 10 3 5 2 16 
5 3 3 6 2 3 15 5 0 1 4 10 2 3 1 11 
5 3 6 4 10 5 67 2 1 8 2 10 3 5 2 16 
3 4 7 12 6 12 28 7 0 6 4 4 2 3 1 21 
3 4 6 6 12 12 67 5 1 6 10 8 2 3 1 5 
2 3 7 4 10 13 44 2 8 3 8 8 3 3 1 11 
3 3 4 4 3 12 52 4 0 6 1 10 3 3 1 5 
5 3 4 4 3 9 54 4 1 3 1 10 2 3 1 5 
6 3 4 3 3 12 52 4 0 8 2 10 3 3 1 5 
3 3 4 6 3 9 41 2 0 3 4 8 3 5 2 16 
6 6 4 9 3 9 27 5 0 3 8 7 2 3 1 21 
3 4 6 9 15 13 43 5 0 6 12 8 2 3 1 5 
2 4 4 11 6 9 41 2 0 3 4 8 2 3 1 21 
3 4 4 6 10 13 26 5 0 3 8 4 2 3 1 21 
3 4 6 9 12 13 39 2 0 6 8 8 2 3 1 16 
3 4 4 4 10 9 44 5 0 6 8 8 2 3 1 3 
2 4 7 6 12 12 43 2 0 6 8 8 2 3 1 16 
2 3 7 4 12 12 44 2 0 6 4 8 3 3 1 11 
3 3 6 9 3 13 41 2 8 1 10 8 4 5 1 5 
6 3 2 4 12 9 26 2 0 8 12 4 2 3 1 16 
3 4 7 9 15 9 91 5 1 6 8 8 2 5 2 5 
5 3 4 6 1 12 81 5 0 6 4 7 3 3 1 3 
2 6 4 9 12 12 15 4 1 3 2 10 2 3 1 5 
3 4 6 9 15 13 153 2 0 6 8 8 2 3 1 16 
6 3 4 4 3 9 33 4 1 8 1 10 3 3 1 3 
3 3 6 4 12 9 91 4 0 8 2 10 3 3 2 16 
1 6 6 9 12 9 66 5 1 6 8 8 1 3 7 5 
5 4 4 9 12 9 39 2 0 6 1 7 3 3 1 11 
3 4 6 4 12 9 70 2 3 8 8 10 2 5 1 11 
6 3 4 6 3 9 52 4 1 3 1 10 3 3 1 5 
2 3 6 4 12 9 88 2 0 6 2 10 3 5 2 16 
5 3 4 3 3 9 52 4 0 8 2 10 3 3 1 5 
7 3 4 4 6 9 52 4 1 6 1 10 3 3 1 11 
3 3 3 4 3 9 33 4 0 6 8 10 3 3 1 5 
3 3 7 4 12 5 61 2 0 10 2 10 3 5 2 16 
3 4 3 6 12 13 1 2 1 8 4 8 3 5 1 11 
6 4 6 4 6 5 41 7 0 6 4 8 3 3 1 5 
